Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-03 00:00:00-05:00,173.85318194367048,178.7902515625947,173.73587028238754,177.939697265625,104487900,0.0,0.0
2022-01-04 00:00:00-05:00,178.54591216508095,178.84897735364942,175.11439555468615,175.68142700195312,99310400,0.0,0.0
2022-01-05 00:00:00-05:00,175.59339039534856,176.14086475419518,170.73453308424857,171.00827026367188,94537600,0.0,0.0
2022-01-06 00:00:00-05:00,168.83790737145776,171.37976954533002,167.80161453547433,168.153564453125,96904000,0.0,0.0
2022-01-07 00:00:00-05:00,169.0236630282213,170.2457092977057,167.2052575825263,168.31976318359375,86709100,0.0,0.0
2022-01-10 00:00:00-05:00,165.29888813158135,168.64240533418686,164.40923476090865,168.33934020996094,106765600,0.0,0.0
2022-01-11 00:00:00-05:00,168.46641535499305,171.26244286002324,166.99995985190662,171.16468811035156,76138300,0.0,0.0
2022-01-12 00:00:00-05:00,172.18141648353657,173.21770927349675,170.91050037060046,171.6046142578125,74805200,0.0,0.0
2022-01-13 00:00:00-05:00,171.84905393496265,172.6702655459411,167.94827640647682,168.33934020996094,84505800,0.0,0.0
2022-01-14 00:00:00-05:00,167.508353425533,169.8937905683483,167.2639441267619,169.19967651367188,80440800,0.0,0.0
2022-01-18 00:00:00-05:00,167.67449730684277,168.68146210817613,165.62146879237642,166.00274658203125,90956700,0.0,0.0
2022-01-19 00:00:00-05:00,166.19826843077354,167.2541180438521,162.2290651127062,162.5125732421875,94815000,0.0,0.0
2022-01-20 00:00:00-05:00,163.24581922868165,165.8854360990158,160.50843269303434,160.8310546875,91420500,0.0,0.0
2022-01-21 00:00:00-05:00,160.74310631081485,162.61039693927614,158.6705202245997,158.77806091308594,122848900,0.0,0.0
2022-01-24 00:00:00-05:00,156.44152655886694,158.6705384327714,151.2404889080489,158.0057373046875,162294600,0.0,0.0
2022-01-25 00:00:00-05:00,155.4247355135648,159.1202024043847,153.5085752311325,156.20684814453125,115798400,0.0,0.0
2022-01-26 00:00:00-05:00,159.84364519078215,160.713741500623,154.2906743409117,156.1188507080078,108275300,0.0,0.0
2022-01-27 00:00:00-05:00,158.81711052646853,160.1760252131081,154.7403664665498,155.6593475341797,121954600,0.0,0.0
2022-01-28 00:00:00-05:00,162.00422657695262,166.5404614570555,159.15929945417386,166.52090454101562,179935700,0.0,0.0
2022-01-31 00:00:00-05:00,166.3547206203823,171.0864802658057,165.71924760028926,170.87139892578125,115541600,0.0,0.0
2022-02-01 00:00:00-05:00,170.1186272242385,170.93006781127377,168.45664712970438,170.70521545410156,86213900,0.0,0.0
2022-02-02 00:00:00-05:00,170.84207875406224,171.94681342176997,169.45383589849953,171.90769958496094,84914300,0.0,0.0
2022-02-03 00:00:00-05:00,170.57813105955574,172.29878204430065,168.27090671710556,169.03346252441406,89418100,0.0,0.0
2022-02-04 00:00:00-05:00,168.05460511567154,170.4235148216532,167.07572223889366,168.74961853027344,82465400,0.22,0.0
2022-02-07 00:00:00-05:00,169.20965988540354,170.2766384169295,167.33999039041194,168.03500366210938,77251200,0.0,0.0
2022-02-08 00:00:00-05:00,168.1035042386361,171.64706939744136,167.80983647215697,171.13804626464844,74829200,0.0,0.0
2022-02-09 00:00:00-05:00,172.33228001362485,172.9196005956565,171.20655609241282,172.5574188232422,71285000,0.0,0.0
2022-02-10 00:00:00-05:00,170.4626223841964,171.7743215374217,167.92731993059743,168.4852752685547,90865900,0.0,0.0
2022-02-11 00:00:00-05:00,168.6908451580762,169.42500712943504,164.49143031742815,165.07876586914062,98670700,0.0,0.0
2022-02-14 00:00:00-05:00,163.83559821712237,165.9989356288058,163.04270559336564,165.313720703125,86185500,0.0,0.0
2022-02-15 00:00:00-05:00,167.3595849608588,169.29776862360237,166.65478818594016,169.14114379882812,62527400,0.0,0.0
2022-02-16 00:00:00-05:00,168.22100455291906,169.67953027359678,166.45901263665095,168.90621948242188,61177400,0.0,0.0
2022-02-17 00:00:00-05:00,167.41831260412283,168.2797341887302,164.91237519788157,165.313720703125,69589300,0.0,0.0
2022-02-18 00:00:00-05:00,166.23387859788448,166.93866044821442,162.68052937533312,163.76708984375,82772700,0.0,0.0
2022-02-22 00:00:00-05:00,161.4960266681506,163.16992227378196,158.72578746937097,160.8499755859375,91162800,0.0,0.0
2022-02-23 00:00:00-05:00,162.04421705709984,162.64133603328534,156.37649344425944,156.6897430419922,90009200,0.0,0.0
2022-02-24 00:00:00-05:00,149.35793777917277,159.411068207212,148.79018396900835,159.3033905029297,141147500,0.0,0.0
2022-02-25 00:00:00-05:00,160.38010876655954,161.6330771993794,157.472826482258,161.36878967285156,91974200,0.0,0.0
2022-02-28 00:00:00-05:00,159.61659142915732,161.92675492011216,158.99989062280463,161.63308715820312,95056600,0.0,0.0
2022-03-01 00:00:00-05:00,161.2220016361372,163.08188800417662,158.54965565066482,159.75367736816406,83474400,0.0,0.0
2022-03-02 00:00:00-05:00,160.9185355637426,163.82581854222389,159.5089420061074,163.04270935058594,79724800,0.0,0.0
2022-03-03 00:00:00-05:00,164.91233720332733,165.34304789639853,162.05400207433684,162.71963500976562,76678400,0.0,0.0
2022-03-04 00:00:00-05:00,161.01642127862274,162.0540345545001,158.67689221468046,159.7242889404297,83737200,0.0,0.0
2022-03-07 00:00:00-05:00,159.91025004561254,161.53519862355543,155.6814703637219,155.9359893798828,96418800,0.0,0.0
2022-03-08 00:00:00-05:00,155.4661275372027,159.4403881412621,152.50989817230385,154.11526489257812,131148300,0.0,0.0
2022-03-09 00:00:00-05:00,158.06996768709067,159.95921898709753,156.04368834876885,159.50892639160156,91454900,0.0,0.0
